"Company ""ABC""",,,
Monthly Sales Report,,,
,,,
DATE,SALESREP,PRODUCTID,QTY
5/15/2020,1016,T01S,10
5/16/2020,1003,T01M,15
5/5/2020,1008,P02M,25
5/23/2020,1017,C03U,28
5/15/2020,1017,P03L,4
5/9/2020,1017,S03M,28
5/25/2020,1020,P01M,24
5/2/2020,1003,P02M,11
5/22/2020,1005,P03L,13
5/22/2020,1028,P02L,33
5/12/2020,1020,T01L,38
5/22/2020,1029,T03S,26
5/25/2020,1021,T02S,10
5/11/2020,1027,S03M,37
5/7/2020,1027,P02L,14
5/12/2020,1016,P02S,26
5/15/2020,1005,C03U,33
5/24/2020,1027,T01S,2
5/21/2020,1012,P03L,30
5/6/2020,1005,C01U,22
5/30/2020,1003,S02L,5
5/15/2020,1008,P03S,4
5/28/2020,1021,P02M,34
5/24/2020,1013,S03S,32
5/8/2020,1017,S03M,26
5/25/2020,1020,P02S,33
5/3/2020,1029,T03S,13
5/25/2020,1013,C01U,6
5/21/2020,1029,T02S,38
5/25/2020,1021,S01M,15
5/23/2020,1012,P01M,22
5/20/2020,1029,P01L,37
5/22/2020,1006,T02M,17
5/23/2020,1005,P03S,36
5/6/2020,1006,T02S,21
5/3/2020,1017,S01S,24
5/27/2020,1021,C03U,33
5/20/2020,1034,T03L,15
5/31/2020,1022,S02S,1
5/16/2020,1016,S01M,22
5/17/2020,1005,T02S,24
5/28/2020,1013,T03M,14
5/12/2020,1022,P01M,38
5/3/2020,1013,S02M,31
5/26/2020,1026,S02M,36
5/31/2020,1005,S01M,35
5/7/2020,1027,S02S,8
5/23/2020,1034,S03S,16
5/27/2020,1020,T01S,3
5/4/2020,1013,P02M,20
5/20/2020,1015,P03L,10
5/14/2020,1027,P02S,3
5/15/2020,1003,T02M,29
5/24/2020,1014,S03L,9
5/11/2020,1020,P01S,26
5/28/2020,1005,S01L,3
5/12/2020,1006,T03S,30
5/10/2020,1021,C03U,19
5/25/2020,1022,T03L,23
5/14/2020,1021,P01L,16
5/29/2020,1026,S03L,40
5/11/2020,1008,S03L,5
5/29/2020,1012,C03U,17
5/31/2020,1029,T03M,35
5/18/2020,1020,P03S,38
5/28/2020,1016,C01U,15
5/16/2020,1009,P02S,16
5/5/2020,1020,P02S,18
5/15/2020,1006,P02S,10
5/24/2020,1003,P01M,29
5/20/2020,1034,P03S,21
5/18/2020,1005,P03S,17
5/9/2020,1008,T02S,34
5/12/2020,1034,S01L,19
5/21/2020,1013,S03S,32
5/21/2020,1012,C03U,20
5/24/2020,1032,T01S,21
5/31/2020,1029,P01S,40
5/8/2020,1026,S03L,19
5/2/2020,1033,S03S,28
5/29/2020,1028,T02L,17
5/1/2020,1016,P02M,31
5/18/2020,1026,S02S,25
5/28/2020,1026,P01L,11
5/11/2020,1017,P01S,29
5/25/2020,1032,T01S,36
5/12/2020,1028,S02S,26
5/11/2020,1014,P01S,25
5/27/2020,1014,P02M,29
5/5/2020,1026,T02S,27
5/21/2020,1003,P03L,30
5/28/2020,1028,S02S,4
5/22/2020,1033,S03M,34
5/22/2020,1008,P03M,8
5/12/2020,1016,T02S,22
5/3/2020,1014,T03M,34
5/14/2020,1009,T02L,16
5/6/2020,1030,T03M,22
5/28/2020,1033,T03M,27
5/7/2020,1026,S03S,1
