"Company ""ABC""",,,
Monthly Sales Report,,,
,,,
DATE,SALESREP,PRODUCTID,QTY
2/20/2020,1009,P02L,30
2/10/2020,1016,P03S,23
2/12/2020,1008,P02L,37
2/14/2020,1006,P01L,14
2/10/2020,1033,P01M,30
2/5/2020,1021,P02S,4
2/7/2020,1006,C01U,20
2/26/2020,1026,S01S,37
2/10/2020,1034,T01M,29
2/20/2020,1030,P03L,32
2/23/2020,1026,S03L,40
2/15/2020,1013,P02L,40
2/14/2020,1009,P02M,3
2/1/2020,1006,S01L,7
2/22/2020,1008,P02M,3
2/15/2020,1028,P03M,13
2/10/2020,1033,S01M,7
2/22/2020,1015,P01L,17
2/13/2020,1026,S01S,20
2/4/2020,1003,T02L,23
2/16/2020,1029,S02S,32
2/2/2020,1026,S02L,9
2/15/2020,1026,T03S,5
2/19/2020,1016,T02L,24
2/29/2020,1015,P02M,13
2/2/2020,1028,T03S,24
2/9/2020,1032,T01M,36
2/18/2020,1014,T03S,35
2/22/2020,1022,P03L,33
2/16/2020,1006,P02S,2
2/6/2020,1028,P02L,32
2/7/2020,1009,P02L,8
2/7/2020,1029,P03L,2
2/24/2020,1005,P02S,11
2/16/2020,1027,S01S,29
2/2/2020,1016,P02L,15
2/2/2020,1015,P01M,20
2/10/2020,1017,P01L,40
2/29/2020,1009,T02S,21
2/10/2020,1027,C01U,8
2/3/2020,1008,T01L,8
2/17/2020,1012,P03L,24
2/4/2020,1006,S02S,6
2/18/2020,1014,T01L,2
2/6/2020,1033,P03M,33
2/3/2020,1013,C01U,18
2/17/2020,1006,T03M,1
2/11/2020,1015,T02S,18
2/15/2020,1022,C02U,28
2/19/2020,1003,S03S,40
2/9/2020,1033,C03U,33
2/4/2020,1005,T01S,26
2/21/2020,1027,P02M,33
2/5/2020,1032,T01M,32
2/3/2020,1013,T01M,14
2/3/2020,1012,C03U,5
2/24/2020,1029,T01M,15
2/14/2020,1028,C03U,36
2/11/2020,1028,T03S,15
2/7/2020,1006,T03M,19
2/29/2020,1005,T01L,13
2/21/2020,1017,P02S,8
2/21/2020,1034,S02S,35
2/5/2020,1032,S03L,15
2/9/2020,1020,P01S,11
2/5/2020,1006,P01M,24
2/9/2020,1028,P02L,13
2/14/2020,1029,P03L,39
2/7/2020,1026,S01L,35
2/13/2020,1005,T03S,12
2/7/2020,1022,S03L,25
2/24/2020,1022,P01L,38
2/18/2020,1003,P01S,33
2/29/2020,1020,T03S,36
2/13/2020,1029,T02L,25
2/20/2020,1033,P02L,39
2/26/2020,1021,P02L,39
2/24/2020,1029,S03S,35
2/10/2020,1005,C03U,21
2/13/2020,1034,T03S,5
2/23/2020,1014,T02S,33
